Commodity_Code,Commodity_Description,Country_Code,Country_Name,Market_Year,Calendar_Year,Month,Attribute_ID,Attribute_Description,Unit_ID,Unit_Description,Value
0585100,"Orange Juice",AR,"Argentina",1983,1984,00,020,"Beginning Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1983,1984,00,125,"Domestic Consumption",21,"(MT)",7635.0000
0585100,"Orange Juice",AR,"Argentina",1983,1984,00,176,"Ending Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1983,1984,00,088,"Exports",21,"(MT)",1565.0000
0585100,"Orange Juice",AR,"Argentina",1983,1984,00,057,"Imports",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1983,1984,00,028,"Production",21,"(MT)",9200.0000
0585100,"Orange Juice",AR,"Argentina",1983,1984,00,178,"Total Distribution",21,"(MT)",9200.0000
0585100,"Orange Juice",AR,"Argentina",1983,1984,00,086,"Total Supply",21,"(MT)",9200.0000
0585100,"Orange Juice",AR,"Argentina",1984,1985,00,020,"Beginning Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1984,1985,00,125,"Domestic Consumption",21,"(MT)",7549.0000
0585100,"Orange Juice",AR,"Argentina",1984,1985,00,176,"Ending Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1984,1985,00,088,"Exports",21,"(MT)",1651.0000
0585100,"Orange Juice",AR,"Argentina",1984,1985,00,057,"Imports",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1984,1985,00,028,"Production",21,"(MT)",9200.0000
0585100,"Orange Juice",AR,"Argentina",1984,1985,00,178,"Total Distribution",21,"(MT)",9200.0000
0585100,"Orange Juice",AR,"Argentina",1984,1985,00,086,"Total Supply",21,"(MT)",9200.0000
0585100,"Orange Juice",AR,"Argentina",1985,1986,00,020,"Beginning Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1985,1986,00,125,"Domestic Consumption",21,"(MT)",8244.0000
0585100,"Orange Juice",AR,"Argentina",1985,1986,00,176,"Ending Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1985,1986,00,088,"Exports",21,"(MT)",2456.0000
0585100,"Orange Juice",AR,"Argentina",1985,1986,00,057,"Imports",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1985,1986,00,028,"Production",21,"(MT)",10700.0000
0585100,"Orange Juice",AR,"Argentina",1985,1986,00,178,"Total Distribution",21,"(MT)",10700.0000
0585100,"Orange Juice",AR,"Argentina",1985,1986,00,086,"Total Supply",21,"(MT)",10700.0000
0585100,"Orange Juice",AR,"Argentina",1986,1987,00,020,"Beginning Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1986,1987,00,125,"Domestic Consumption",21,"(MT)",5000.0000
0585100,"Orange Juice",AR,"Argentina",1986,1987,00,176,"Ending Stocks",21,"(MT)",1000.0000
0585100,"Orange Juice",AR,"Argentina",1986,1987,00,088,"Exports",21,"(MT)",5000.0000
0585100,"Orange Juice",AR,"Argentina",1986,1987,00,057,"Imports",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1986,1987,00,028,"Production",21,"(MT)",11000.0000
0585100,"Orange Juice",AR,"Argentina",1986,1987,00,178,"Total Distribution",21,"(MT)",11000.0000
0585100,"Orange Juice",AR,"Argentina",1986,1987,00,086,"Total Supply",21,"(MT)",11000.0000
0585100,"Orange Juice",AR,"Argentina",1987,1988,00,020,"Beginning Stocks",21,"(MT)",1000.0000
0585100,"Orange Juice",AR,"Argentina",1987,1988,00,125,"Domestic Consumption",21,"(MT)",3000.0000
0585100,"Orange Juice",AR,"Argentina",1987,1988,00,176,"Ending Stocks",21,"(MT)",75.0000
0585100,"Orange Juice",AR,"Argentina",1987,1988,00,088,"Exports",21,"(MT)",7725.0000
0585100,"Orange Juice",AR,"Argentina",1987,1988,00,057,"Imports",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1987,1988,00,028,"Production",21,"(MT)",9800.0000
0585100,"Orange Juice",AR,"Argentina",1987,1988,00,178,"Total Distribution",21,"(MT)",10800.0000
0585100,"Orange Juice",AR,"Argentina",1987,1988,00,086,"Total Supply",21,"(MT)",10800.0000
0585100,"Orange Juice",AR,"Argentina",1988,1989,00,020,"Beginning Stocks",21,"(MT)",75.0000
0585100,"Orange Juice",AR,"Argentina",1988,1989,00,125,"Domestic Consumption",21,"(MT)",2730.0000
0585100,"Orange Juice",AR,"Argentina",1988,1989,00,176,"Ending Stocks",21,"(MT)",50.0000
0585100,"Orange Juice",AR,"Argentina",1988,1989,00,088,"Exports",21,"(MT)",7295.0000
0585100,"Orange Juice",AR,"Argentina",1988,1989,00,057,"Imports",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1988,1989,00,028,"Production",21,"(MT)",10000.0000
0585100,"Orange Juice",AR,"Argentina",1988,1989,00,178,"Total Distribution",21,"(MT)",10075.0000
0585100,"Orange Juice",AR,"Argentina",1988,1989,00,086,"Total Supply",21,"(MT)",10075.0000
0585100,"Orange Juice",AR,"Argentina",1989,1990,00,020,"Beginning Stocks",21,"(MT)",50.0000
0585100,"Orange Juice",AR,"Argentina",1989,1990,00,125,"Domestic Consumption",21,"(MT)",2720.0000
0585100,"Orange Juice",AR,"Argentina",1989,1990,00,176,"Ending Stocks",21,"(MT)",400.0000
0585100,"Orange Juice",AR,"Argentina",1989,1990,00,088,"Exports",21,"(MT)",10930.0000
0585100,"Orange Juice",AR,"Argentina",1989,1990,00,057,"Imports",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1989,1990,00,028,"Production",21,"(MT)",14000.0000
0585100,"Orange Juice",AR,"Argentina",1989,1990,00,178,"Total Distribution",21,"(MT)",14050.0000
0585100,"Orange Juice",AR,"Argentina",1989,1990,00,086,"Total Supply",21,"(MT)",14050.0000
0585100,"Orange Juice",AR,"Argentina",1990,1991,00,020,"Beginning Stocks",21,"(MT)",400.0000
0585100,"Orange Juice",AR,"Argentina",1990,1991,00,125,"Domestic Consumption",21,"(MT)",1957.0000
0585100,"Orange Juice",AR,"Argentina",1990,1991,00,176,"Ending Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1990,1991,00,088,"Exports",21,"(MT)",9443.0000
0585100,"Orange Juice",AR,"Argentina",1990,1991,00,057,"Imports",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1990,1991,00,028,"Production",21,"(MT)",11000.0000
0585100,"Orange Juice",AR,"Argentina",1990,1991,00,178,"Total Distribution",21,"(MT)",11400.0000
0585100,"Orange Juice",AR,"Argentina",1990,1991,00,086,"Total Supply",21,"(MT)",11400.0000
0585100,"Orange Juice",AR,"Argentina",1991,1992,00,020,"Beginning Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1991,1992,00,125,"Domestic Consumption",21,"(MT)",4550.0000
0585100,"Orange Juice",AR,"Argentina",1991,1992,00,176,"Ending Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1991,1992,00,088,"Exports",21,"(MT)",7900.0000
0585100,"Orange Juice",AR,"Argentina",1991,1992,00,057,"Imports",21,"(MT)",450.0000
0585100,"Orange Juice",AR,"Argentina",1991,1992,00,028,"Production",21,"(MT)",12000.0000
0585100,"Orange Juice",AR,"Argentina",1991,1992,00,178,"Total Distribution",21,"(MT)",12450.0000
0585100,"Orange Juice",AR,"Argentina",1991,1992,00,086,"Total Supply",21,"(MT)",12450.0000
0585100,"Orange Juice",AR,"Argentina",1992,1993,00,020,"Beginning Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1992,1993,00,125,"Domestic Consumption",21,"(MT)",8686.0000
0585100,"Orange Juice",AR,"Argentina",1992,1993,00,176,"Ending Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1992,1993,00,088,"Exports",21,"(MT)",4322.0000
0585100,"Orange Juice",AR,"Argentina",1992,1993,00,057,"Imports",21,"(MT)",1008.0000
0585100,"Orange Juice",AR,"Argentina",1992,1993,00,028,"Production",21,"(MT)",12000.0000
0585100,"Orange Juice",AR,"Argentina",1992,1993,00,178,"Total Distribution",21,"(MT)",13008.0000
0585100,"Orange Juice",AR,"Argentina",1992,1993,00,086,"Total Supply",21,"(MT)",13008.0000
0585100,"Orange Juice",AR,"Argentina",1993,1994,00,020,"Beginning Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1993,1994,00,125,"Domestic Consumption",21,"(MT)",13610.0000
0585100,"Orange Juice",AR,"Argentina",1993,1994,00,176,"Ending Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1993,1994,00,088,"Exports",21,"(MT)",890.0000
0585100,"Orange Juice",AR,"Argentina",1993,1994,00,057,"Imports",21,"(MT)",2000.0000
0585100,"Orange Juice",AR,"Argentina",1993,1994,00,028,"Production",21,"(MT)",12500.0000
0585100,"Orange Juice",AR,"Argentina",1993,1994,00,178,"Total Distribution",21,"(MT)",14500.0000
0585100,"Orange Juice",AR,"Argentina",1993,1994,00,086,"Total Supply",21,"(MT)",14500.0000
0585100,"Orange Juice",AR,"Argentina",1994,1995,00,020,"Beginning Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1994,1995,00,125,"Domestic Consumption",21,"(MT)",11659.0000
0585100,"Orange Juice",AR,"Argentina",1994,1995,00,176,"Ending Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1994,1995,00,088,"Exports",21,"(MT)",4509.0000
0585100,"Orange Juice",AR,"Argentina",1994,1995,00,057,"Imports",21,"(MT)",3668.0000
0585100,"Orange Juice",AR,"Argentina",1994,1995,00,028,"Production",21,"(MT)",12500.0000
0585100,"Orange Juice",AR,"Argentina",1994,1995,00,178,"Total Distribution",21,"(MT)",16168.0000
0585100,"Orange Juice",AR,"Argentina",1994,1995,00,086,"Total Supply",21,"(MT)",16168.0000
0585100,"Orange Juice",AR,"Argentina",1995,1996,00,020,"Beginning Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AR,"Argentina",1995,1996,00,125,"Domestic Consumption",21,"(MT)",16000.0000
0585100,"Orange Juice",AR,"Argentina",1995,1996,00,176,"Ending Stocks",21,"(MT)",186.0000
0585100,"Orange Juice",AR,"Argentina",1995,1996,00,088,"Exports",21,"(MT)",2403.0000
0585100,"Orange Juice",AR,"Argentina",1995,1996,00,057,"Imports",21,"(MT)",8589.0000
0585100,"Orange Juice",AR,"Argentina",1995,1996,00,028,"Production",21,"(MT)",10000.0000
0585100,"Orange Juice",AR,"Argentina",1995,1996,00,178,"Total Distribution",21,"(MT)",18589.0000
0585100,"Orange Juice",AR,"Argentina",1995,1996,00,086,"Total Supply",21,"(MT)",18589.0000
0585100,"Orange Juice",AR,"Argentina",1996,1997,00,020,"Beginning Stocks",21,"(MT)",186.0000
0585100,"Orange Juice",AR,"Argentina",1996,1997,00,125,"Domestic Consumption",21,"(MT)",10496.0000
0585100,"Orange Juice",AR,"Argentina",1996,1997,00,176,"Ending Stocks",21,"(MT)",200.0000
0585100,"Orange Juice",AR,"Argentina",1996,1997,00,088,"Exports",21,"(MT)",2000.0000
0585100,"Orange Juice",AR,"Argentina",1996,1997,00,057,"Imports",21,"(MT)",2510.0000
0585100,"Orange Juice",AR,"Argentina",1996,1997,00,028,"Production",21,"(MT)",10000.0000
0585100,"Orange Juice",AR,"Argentina",1996,1997,00,178,"Total Distribution",21,"(MT)",12696.0000
0585100,"Orange Juice",AR,"Argentina",1996,1997,00,086,"Total Supply",21,"(MT)",12696.0000
0585100,"Orange Juice",AR,"Argentina",1997,1998,00,020,"Beginning Stocks",21,"(MT)",200.0000
0585100,"Orange Juice",AR,"Argentina",1997,1998,00,125,"Domestic Consumption",21,"(MT)",18021.0000
0585100,"Orange Juice",AR,"Argentina",1997,1998,00,176,"Ending Stocks",21,"(MT)",400.0000
0585100,"Orange Juice",AR,"Argentina",1997,1998,00,088,"Exports",21,"(MT)",2800.0000
0585100,"Orange Juice",AR,"Argentina",1997,1998,00,057,"Imports",21,"(MT)",5721.0000
0585100,"Orange Juice",AR,"Argentina",1997,1998,00,028,"Production",21,"(MT)",15300.0000
0585100,"Orange Juice",AR,"Argentina",1997,1998,00,178,"Total Distribution",21,"(MT)",21221.0000
0585100,"Orange Juice",AR,"Argentina",1997,1998,00,086,"Total Supply",21,"(MT)",21221.0000
0585100,"Orange Juice",AR,"Argentina",1998,1999,00,020,"Beginning Stocks",21,"(MT)",400.0000
0585100,"Orange Juice",AR,"Argentina",1998,1999,00,125,"Domestic Consumption",21,"(MT)",16000.0000
0585100,"Orange Juice",AR,"Argentina",1998,1999,00,176,"Ending Stocks",21,"(MT)",400.0000
0585100,"Orange Juice",AR,"Argentina",1998,1999,00,088,"Exports",21,"(MT)",2000.0000
0585100,"Orange Juice",AR,"Argentina",1998,1999,00,057,"Imports",21,"(MT)",8000.0000
0585100,"Orange Juice",AR,"Argentina",1998,1999,00,028,"Production",21,"(MT)",10000.0000
0585100,"Orange Juice",AR,"Argentina",1998,1999,00,178,"Total Distribution",21,"(MT)",18400.0000
0585100,"Orange Juice",AR,"Argentina",1998,1999,00,086,"Total Supply",21,"(MT)",18400.0000
0585100,"Orange Juice",AS,"Australia",1983,1984,00,020,"Beginning Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AS,"Australia",1983,1984,00,125,"Domestic Consumption",21,"(MT)",211200.0000
0585100,"Orange Juice",AS,"Australia",1983,1984,00,176,"Ending Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AS,"Australia",1983,1984,00,088,"Exports",21,"(MT)",2100.0000
